Area,Floor,TotalFloor,Bedroom,Living Room,Bathroom,Price
48.7,8,12,4,2,2,65000
14.8,13,17,2,1,1,29500
20.2,5,7,2,2,1,43000
45,3,7,3,2,2,33500
33,14,14,3,2,1,26000
39.6,9,9,2,2,2,65999
39,2,7,3,2,2,45000
17,3,12,1,1,1,23800
38.8,6,13,3,2,2,49999
60,2,13,1,2,2,58000
20.8,10,12,2,2,2,45000
29,5,12,2,2,2,36000
42.9,8,12,4,2,2,65000
45,1,4,3,2,2,65000
40,13,21,2,2,2,55000
10.8,2,9,1,1,1,35000
56.1,5,12,3,2,2,75000
20.2,5,7,2,2,1,43000
38.4,4,11,3,2,2,50000
49,3,12,3,2,2,45000
46,4,4,4,2,2,52000
53.5,8,13,3,2,2,120000
18.8,5,6,2,1,1,28000
68.3,12,25,4,2,2,110000
36.5,7,7,2,2,1,57000
60.1,11,14,4,2,2,55000
83.3,2,25,4,2,2,95000
15,14,16,1,1,1,25000
63.6,4,14,3,2,2,120000
16.6,8,9,1,2,1,45000
27.1,5,14,2,1,1,28000
22.4,3,12,2,2,2,45000
67.7,6,13,4,2,3,80000
47.8,13,21,2,2,2,55000
47,3,7,3,2,2,75000
41.3,6,7,2,2,2,75000
58.1,4,14,4,2,2,100000
49.3,3,7,3,2,2,75000
49.4,4,16,4,2,2,55000
16.5,5,7,1,1,1,36000
41.8,5,7,3,2,2,50000
41.8,5,7,3,2,2,50000
22.2,7,9,1,1,1,42000
56.4,3,7,4,2,2,68000
24.5,8,14,2,1,1,41999
42.8,11,11,4,2,3,60000
89.2,3,9,4,2,3,160000
53.4,21,27,4,2,2,57000
62,8,10,3,2,3,120000
31.1,3,12,1,2,1,50000
75,5,12,4,2,2,138888
24.8,10,14,1,1,1,48800
91.5,4,7,4,2,5,120000
60.1,6,7,3,2,2,43000
44.4,4,15,3,1,2,99990
77.8,8,19,3,2,2,60000
58.5,10,17,2,2,2,68000
47.8,13,21,2,2,2,55000
60,6,7,3,2,2,43000
20.2,5,12,2,1,1,34800
21.2,5,7,2,1,1,80000
39,2,7,3,2,2,45000
100,1,5,2,2,2,63000
42.6,2,7,2,2,2,49800
25.7,12,12,3,2,2,36000
20,8,14,1,1,1,36000
41.8,2,6,2,2,2,48000
60.1,6,7,3,2,2,43000
31.7,4,5,3,2,2,26000
31.9,2,7,3,2,1,37000
18.7,6,7,1,1,1,25000
26,2,4,2,2,1,36000
34,3,4,3,2,2,38000
37.6,8,19,3,2,2,60000
38.4,4,11,4,2,2,49999
57.7,6,7,4,2,2,77999
20,8,14,1,1,1,36000
15,7,12,1,1,1,17000
32,4,5,3,2,2,26000
41,4,12,3,2,2,36000
35,5,7,2,2,2,37000
51,6,14,4,2,2,90000
42.6,4,7,2,2,2,88000
22.8,5,12,2,1,1,43500
10.1,12,12,1,1,1,26000
52.9,6,7,3,2,2,55000
39.9,6,12,4,2,2,50000
39.2,12,12,2,2,1,45000
58,3,6,4,2,3,88000
46.7,10,12,1,1,1,50000
98.5,13,14,2,2,2,250000
201.9,9,18,4,3,5,600000
52.6,8,9,3,2,2,88000
18,14,14,1,1,1,43000
68.3,5,25,3,2,2,88000
42.7,2,7,2,2,2,49800
21.4,8,13,1,1,1,26000
53.5,8,13,2,2,2,120000
32.7,3,7,3,2,2,45000
50,4,4,4,2,2,51999
44.4,10,12,4,1,1,65000
88.4,2,25,4,2,2,98000
88.5,2,25,4,2,2,98000
75.9,15,21,5,2,4,100000
103,9,13,5,1,2,206000
60,2,6,3,2,2,68000
47.8,13,21,2,2,2,55000
38.8,6,13,3,2,2,49800
57.7,5,7,4,2,2,77999
52.6,11,12,4,2,2,49999
40.2,2,7,4,2,2,44999
44.4,4,15,3,1,2,99999
47,4,15,3,2,2,58000
35.7,3,14,2,2,1,42000
35,3,12,1,2,1,35000
41,4,6,2,1,2,65000
48,1,5,2,2,2,37000
42.6,2,7,2,2,2,48800
39.6,3,4,4,2,2,39999
41.5,6,6,3,2,2,49999
47.8,13,21,2,2,2,55000
72.8,7,7,4,3,3,77999
67.7,4,14,4,2,2,74999
50,10,10,3,2,2,90000
59,4,8,3,2,2,63000
33.9,7,7,2,2,1,59500
27.8,13,13,2,2,1,45000
89.2,3,9,3,2,3,160000
68.7,7,15,4,2,3,73000
20.3,11,13,2,1,1,36000
48,3,14,3,2,2,65000
