"","title","article","dt","clicked","category"
"91","國民登頂　連3次偶數年國聯東區奪冠","【更新：新增影片】近況不佳的國民隊，今天終於時來運轉，靠著第3任投手羅培茲(Reynaldo Lopez)臨危受命，撐了5.1局無失分，以6比1力克海盜，再拜大都會以8比10輸給費城人之賜，魔術數字一下子從2減到0，奪下國聯東區冠軍。這是國民隊近5年來第3次拿下國聯東區第一，且剛好是偶數年的2012、14和16年，不過前兩次都在被看好之下，於第一輪的國聯分區季後賽就遭到淘汰。長期在分區位居龍頭的國民，近況並不理想，過去6場就輸了5場，再加上大都會近來表現不錯，魔術數字遞減得非常慢，今天開賽也不是那麼順，先發投手羅斯(Joe Ross)只投了2.2局被敲5安打，失1分就退場，今年表現好壞落差大的菜鳥投手羅培茲在4局起登板，一直投到9局下1出局後才退場，5.1局只被敲3安打，投出2次四壞和6次三振，無失分，不但守住勝利，也減少牛棚消耗量，個人拿下第4勝。國民頭號強打哈潑(Bryce Harper)今天敲勝利打點、包辦2打點，成了勝利英雄之一，但兩度攻下分數都不是靠安打，1局上敲高飛犧牲打，4局下擊出滾地球造成失誤，全隊也沒有全壘打，但敲了12安，靠團隊戰力拿下一場關鍵勝利。(謝岱穎／綜合報導)發稿時間：11:06更新時間：16:08<U+00A0> 國民分區封王，賽後全隊在休息室開香檳慶祝。法新社國民5年內3度奪得國聯東區冠軍。取自國民推特國民沃斯(Jayson Werth)回壘得分，和隊友擊掌慶祝。法新社",2016-09-25 16:09:00,5398,"體育"
"92","美國能源效率教父羅森費爾德　唐獎永續獎得主  ","2016年唐獎永續發展獎得主是亞瑟．羅森費爾德，曾為美國勞倫斯柏克萊國家實驗室能源科技中心副主任，以及加州大學柏克萊分校土木及環境工程系教授，他畢生從事能源使用效率的開拓型創新，使得全球能源消耗及溫室氣體排放大幅減少，被尊稱為「能源效率教父」。今年90歲的羅森費爾德因健康因素未親自出席領獎，由其門生、現任勞倫斯柏克萊國家實驗室能源科技中心負責人阿胥侯．卡吉爾博士(Dr. Ashok Gadgil) 代為領獎，並由前中研院長李遠哲頒獎。羅森費爾德透過事前錄影方式發表感言表示，獲得唐獎是他莫大榮譽，非常謝謝唐獎基金會體諒他身體不便遠行而由阿胥侯．卡吉爾代表領獎；他費盡力氣在鏡頭前說話，令人動容。第二屆唐獎生技醫藥獎由德國學者伊曼紐．夏彭提耶（Emmanuelle Charpentier)、美國加州柏克萊大學珍妮佛．道納（Jennifer A. Doudna）及麻省理工學院研究員張鋒共同獲得，他們在 CRISPR╱Cas9基因編輯技術上的貢獻，將大幅改革生醫研究與疾病治療的策略，極具治療人類疾病的潛力。中央研究院院士龔行健形容，人體基因就像有30億顆珍珠的項鍊，而基因體編輯功能就像是找出其中壞掉的珍珠並用剪刀將它剪掉，並換上好的珍珠，而三位旋者開發的CRISPR╱Cas9平台，編輯基因體的效率與精準度都是空前的，將能帶動基因體編輯革命。該獎項由2001年諾貝爾獎得主野依良治頒發。夏彭提耶表示，感謝評審委員肯定CRISPR╱Cas9的貢獻，也希望能夠進一步了解生命奧秘，並繼續在微生物學領域貢獻心力。道納表示，今天的成就是集結了研究室中所有同事的力量，唐獎是給大家的肯定，也是認可了基礎研究的重要性。張鋒則說，以謙卑的心情接受這個獎項，而我們是站在巨人的肩膀上來進行研究，唐獎的肯定是集結了過去眾人研究的成果。（劉嘉韻╱台北報導）<U+00A0>",2016-09-25 16:08:00,0,"生活"
"93","輔大「公審」10萬字全文曝光　網友分析鬥爭18招","輔仁大學性侵案引發關注，而今年6月時輔大心理系針對該案召開「討論會」，邀請各界師生、被害女同學及男友等參與，結果卻形同「公審」檢討被害人，對被害人造成二度傷害，現在有網友po出了當時會議紀錄的10萬字逐字稿，揭露完整情況。網友在「對不起，我就是站在受害者的位子上」臉書活動中分享了6月7日討論會的逐字稿全文及摘錄版，這場討論會被害女生幾度崩潰，一名女工作小組人員竟還說：「說受傷是真的，我相信那是真的，但是這個版本要怎麼還原也有可能當時你們是誤讀呀！」女學生哭喊，「這個感覺的東西，怎麼會有版本的問題呢？」，沒想到竟被時任輔大心理系主任何東洪回嗆：「不要用這種語調好不好」。而還有網友解析了討論會中的「鬥爭手法」，並標誌出對照全文的頁次，網友批評，何東洪主持討論會明顯偏頗，而之後夏林清和其團隊則連番追打：1.下馬威(P6)2.濫用裁量權(P11-13)3.排除他者(P13-15)4.偷渡資訊(P22-25)5.攻擊代替防守(P35-38)6.技術干擾(P44、51-52、56)7.被攻擊時拖延議程(P56)8.對方鬆口時加緊攻擊(P65-66、76、95、108、141、156、221)9.我方認錯時轉移話題(P68-70)10.黑臉白臉(P81-82、113-119)11.鞏固成果(P97-100、112-114、121-124、129)12.玩弄名詞(P102-106)13.Reset議程(P107)14.Reset對立關係(P133-135)15.貍貓換太子(P139-169、154-155)16.假動作(P173-186)17.上籃得分(P186-197)18.乘勝追擊(P197-224)（即時新聞中心／綜合報導）",2016-09-25 16:07:00,0,"生活"
"94","香奈兒女郎撞場了！妹腰露得多已大勝","（新增影片）26歲「暮光女」克莉絲汀史都華（Kristen Stewart）和17歲莉莉蘿絲（Lily Rose）是精品CHANEL（香奈兒）力捧女星，前晚她倆一起在洛杉磯出席N°5 L'EAU香水上市慶祝活動，莉莉蘿絲是新香代言人，在晚宴上就像主人四處打招呼。她倆應媒體要求合影時，克莉絲汀史都華很有「姊」的大器風範，大方伸手勾著莉莉蘿絲的肩膀拍照，還為她比出大拇指按讚手勢。兩人都是一身CHANEL露腰造型，莉莉蘿絲選穿2016秋冬高級訂製服的金絲縷短版外套，中空露出小蠻腰的範圍遠勝前輩，且她未搭內裡更顯性感，她笑說：「這大概是我最冒險的一次時尚挑戰，但我們巧妙有縫起中間，應該沒問題！」（陳意佳／綜合報導）出版時間：10:15更新時間：16:04 莉莉蘿絲穿CHANEL 2016秋冬高訂服的小外套，中空露蠻腰。翻攝lily rose IG莉莉蘿絲（左）和克莉絲汀史都華前晚一起出席香奈兒香水活動。翻攝fashiontomax IG莉莉蘿絲在香水活動上像主人四處招呼賓客。翻攝thefashioncodebyannie IG莉莉蘿絲代言N°5 L'EAU香水，100ml／5600元。翻攝Lily Rose IG",2016-09-25 16:04:00,5032,"時尚"
"95","<U+200B>北市2人怒辭官　皆因柯P執意讓她復職","中山國中前教師蕭曉玲9年前遭解聘，台北市長柯文哲責成教育局撤銷原解聘處分，還要補發蕭女9年薪水約4、5百萬元。此事引發外界諸多批評，傳北市法務局長楊芳玲、教育局長湯志民接連請辭，也與蕭曉玲復職案有關。（即時新聞中心／綜合報導）原因：蕭曉玲解聘案　北市教育局撤銷原解聘函台北市教育局2016年09月21日宣布，中山國中前教師蕭曉玲之解聘案，教育局基於原處分不當，撤銷原核准解聘函，代表解聘處分自始無效，教育局將協調安置蕭師復職，並補發自2008年解聘以來的本俸。北市中山國中前音樂教師蕭曉玲，因控告時任市長的郝龍斌推行一綱一本政策剝奪教師選書權，後遭校方以接獲投訴教學不力、有損師道為由解聘。蕭雖不服解聘提起的行政訴訟敗訴定讞，但北市廉政會建議撤銷解聘處分，監察院也認為調查程序有瑕疵。http://www.appledaily.com.tw/realtimenews/article/life/20160921/953188<U+00A0>爭議：回聘女教師還補百萬薪　柯文哲挨告中山國中前音樂教師蕭曉玲9年前因上課僅播放錄影帶、還辱罵學生等行為，被校方以行為不檢有損師道為由解聘，蕭女雖打行政訴訟爭權益，但最高行政法院仍認定校方解聘有理，判蕭女敗訴定讞，但台北市長柯文哲卻依照監察院的糾正文及市府廉委會的聽證會，責成教育局撤銷原解聘處分，還要補發蕭女9年薪水約4、5百萬元，台北市議員鍾小平認為柯文哲膽大妄為、違法亂紀，2016年09月22日前往台北地檢署控告柯P及台北市教育局長湯志民瀆職、圖利。http://www.appledaily.com.tw/realtimenews/article/local/20160922/953730<U+00A0>影響一：姚立明爆料　妻楊芳玲因蕭曉玲案辭官台北市法務局長楊芳玲2016年09月19日請辭並發公開信，自稱很遺憾在許多個案被理解成有礙台北市長柯文哲效率、對抗柯，若不能認同長官理念，政務官本應知所進退。國會觀察基金會董事長姚立明22日爆料，他太太楊芳玲請辭主因，就是中山國中教師蕭曉玲復職案。楊堅持撤銷蕭解聘案要有法律理由，不能用政治手段讓蕭復職，但有人講「妳煩不煩啊」，讓太太決心請辭。http://www.appledaily.com.tw/appledaily/article/headline/20160923/37392410 <U+00A0>影響二：疑蕭曉玲案爭議　北市教育局長湯志民請辭繼北市法務局局長楊芳玲前幾天辭職後，教育局局長湯志民也請辭。北市教育局人員證實此事，並表示湯做到10月1日。北市府幕僚指湯是在上周議會總質詢後向柯遞辭呈，但柯文哲尚未批准。據了解，北市府在處理中山國中前教師蕭曉玲遭解聘案時，因與教育局見解不同，市府高層就對局方有意見，但此原因未獲證實。http://www.appledaily.com.tw/realtimenews/article/life/20160925/955635 【想知道更多，一定要看……】【有片】官員折損快　柯Ｐ：郝4年內走24個官疑蕭曉玲案爭議　北市教育局局長湯志民請辭湯志民公開信　稱完成「階段性大工作」",2016-09-25 16:04:00,409,"政治"
"96","連珠砲辱警「臭屁、刁鑽」　男子拘役40天","基市陳姓男子今年2月間，併排停車不聽警員勸導離開，警員要求查看証件準備開單，陳男竟惱羞成怒，像連珠砲式連串侮辱員警「你在臭屁什麼，臭屁、臭屁，我沒看過這麼刁、刁鑽的警察，臭屁什麼」，當場侮辱值勤警員，被檢方依妨害公務罪嫌起訴。法官參考教育部臺灣常用詞辭典，「臭屁」係形容人喜歡誇大炫耀，自以為是的樣子，「刁」係指狡猾、狡詐，「刁鑽」係指奸詐、狡猾，法官認為，陳男大聲接續辱罵警員，足使警員感到難堪與屈辱，判拘役40天，可易科罰金4萬元。（突發中心蔡進男／基隆報導）",2016-09-25 16:03:00,25,"社會"
"97","【有片】官員折損快　柯Ｐ：郝4年內走24個官","（更新：增加影片）北市府繼法務局長楊芳玲請辭後，今換成教育局長湯志民請辭，媒體今詢問台北市長柯文哲，是否有反省過為何大家都不願意跟他做事，柯表示他有去調資料，前市長郝龍斌在4年內換了24個官員，有時政務官來來去去，甚至升官，像官員有更好的發展，升官去中央，也不能攔截。媒體追問柯，是否覺得自己沒有問題，柯表示這跟離婚一樣，沒有對錯，只有適合或不適合的問題。（張博亭／台北報導）出版：15:47更新：16:02 【想知道更多，一定要看……】官員折損快　柯Ｐ：郝4年內走24個官一張表看柯市府出走首長數　已達13人台北市長柯文哲。劉耿豪攝",2016-09-25 16:02:00,1029,"生活"
"98","【有片】世大運影片抄日本樂團MV　柯P：請觀傳局處理","（更新：增加影片）台北市政府宣傳世大運的影片爆出抄襲日本樂團MV，遭網友批丟臉。台北市長柯文哲今受訪時表示，他還沒看到影片，會請觀光傳播局去處理。柯並說案子很多，突然被媒體問，他也不曉得。（張博亭／台北報導）出版：15:48更新：16:02 【想知道更多，一定要看……】【更新】北市府世大運影片　爆疑抄日本樂團台北市政府宣傳世大運影片爆出抄襲日本樂團MV。市長柯文哲今說，會請觀傳局處理。劉耿豪攝",2016-09-25 16:02:00,487,"生活"
"99","梅姬颱風逼近　農民預防性採收","（更新：新增影片）中度颱風梅姬對台灣威脅大，國內蔬菜主要產區的雲林地區，今日菜農一早就忙著做預防性採收蔬菜，林姓菜農表示，葉菜類蔬菜最怕被風颳過，強風吹襲後會呈現委凋，農民怕即將收成的蔬菜損失，做預防性採收，以免颱風來襲，無法收成損失慘重。今天適逢週日西螺果菜市場休市，未進行蔬菜交易，受到風預期心理影響，還是有許多蔬菜盤商直接到產地田間採購批發蔬菜。張姓盤商說，假日傳統市場、黃昏市場蔬菜攤商未休市，零售需求未減，加上颱風進逼，葉菜類蔬菜已經稍漲，預計明天果菜市場開市拍賣，蔬菜交易價格恐會漲更多。今日西螺果菜市場休市日，未進行場內交易，場外葉菜類蔬菜交易價每公斤小白菜32元、青江菜30元、芥藍菜 37元、油菜30元、蚵白35元、空心菜45元至60元間。（李政遠／雲林報導）出版時間：13:07更新時間：16:00 蔬菜盤商直接到產地田間採購批發蔬菜。李政遠攝農民怕即將收成的蔬菜損失，做預防性採收，以免颱風來襲，無法收成損失慘重。農民怕即將收成的蔬菜損失，做預防性採收，以免颱風來襲，無法收成損失慘重。蔬菜盤商直接到產地田間採購批發蔬菜。李政遠攝農民怕即將收成的蔬菜損失，做預防性採收，以免颱風來襲，無法收成損失慘重。",2016-09-25 16:00:00,1656,"生活"
"100","韓國女子團體EXID抵台　歌迷熱情迎接","韓國女子團體EXID今中午抵台，5名成員下機後展現相當親和力，頻對大家揮手致意。有近2百名歌迷在桃園機場二航廈入境大廳迎接，她們一走出入境大門，歌迷呼叫自己偶像名字聲此起彼落，不少人蜂擁而上要拍照，現場秩序頓時大亂，保全人員護著五人沿著牆邊慢慢走機場。（突發中心吳詠平／桃園報導）<U+00A0> EXID抵台。吳詠平攝EXID抵台。吳詠平攝歌迷在入境大廳等候。吳詠平攝現場大批歌迷迎接團員很享受。吳詠平攝被迫沿著牆邊走。吳詠平攝工作人員護著五人前進。吳詠平攝",2016-09-25 16:00:00,20,"娛樂"
"101","【有片】蕭曉玲案折損兩官？　柯P：不盡然","（更新：增加影片）台北市教育局長湯志民請辭，外傳是因日前市府同意讓中山國中前教師蕭曉玲復職，但湯與台北市長柯文哲在蕭案的見解不同。媒體今問柯，是否局處長不想與他一起肩負蕭案的政治責任？柯表示，每件事都有正反面，有時候還是要做選擇。媒體追問柯，在法制面與教育面，局長是否因都不挺柯的決定才相繼去職？柯表示也不盡然，這是好問題。媒體問柯文哲，是否堅持蕭案的決定？柯表示，轉型正義真正的目的是防止過去的錯誤在未來發生，而非要懲罰過去的加害者，所以在現行法律下，如果沒有人做錯甚麼事，這個案子（蕭案）要怎麼撤銷，所以長官要做抉擇。由於柯不追究當初打壓蕭曉玲的官員，遭蕭批評「為德不卒」，柯強調自己不贊成循環報復，如果一定要說有人做錯，此案才能平反，那他選擇自己扛起來。媒體又問柯，為了蕭曉玲案折損兩位局長，是否代價有點大，柯表示，有些事情身為市長還是要做決定，如果要純粹用法律來解決政治問題，也沒辦法解決。媒體追問，這樣是否會違反行政程序或有違法的問題？柯表示，之前為蕭案有詢問法務部，法務部回函是請北市府自行擇處。柯表示，湯志民請辭的事，明天上班日再來討論。是否有其他的局處長會離職？柯表示，到時候會作全部的檢討，再一起處理。（張博亭／台北報導）出版：15:46更新：15:59 【想知道更多，一定要看……】一張表看柯市府出走首長數　已達13人疑蕭曉玲案爭議　北市教育局局長湯志民請辭台北市長柯文哲今被問及蕭曉玲案是否折損兩位市府一級官員時說，每件事都有正反面，還是要做選擇。劉耿豪攝北市教育局長湯志民請辭，外傳是與日前北市府同意讓中山國中前教師蕭曉玲復職有關。資料照片",2016-09-25 15:59:00,881,"生活"
"102","走了莫蘭蒂梅姬又來　蕉農：倒光不擔心了","(更新:增加影片)梓官區農會供銷部表示，梓官區蔬菜產區面臨接連而來的豪雨及颱風重創，目前梓官區蔬菜集貨場到貨量僅剩約平時的一成左右，這次颱風來襲因為受損蔬菜「來不及長大」農民就算想搶收也無菜可收。供銷部說，莫蘭蒂颱風前，梓官區仍有地瓜葉、空心菜可以採收，但颱風烈日將泡水地瓜葉曬得焦黃，目前該區僅剩少數空心菜可以採收，葉菜類價格因民眾搶購預期心理，批發價格微漲一成左右。同樣也在莫蘭蒂風災中同樣受創嚴重的高雄旗山香蕉產區蕉農李致弘也趕在梅姬颱風來臨前，將蕉園內僅剩約一成的香蕉樹加強固定。李致弘無奈苦笑說，比起莫蘭蒂，「這次不擔心了」，因為莫蘭蒂颱風後蕉園受損九成「該倒的差不多都倒光了」。（劉智維／高雄報導）出版時間:15:46更新時間:15:58 旗山蕉農李致弘趕在颱風前將僅剩的香蕉樹加強固定。蕉園內遭莫蘭蒂重創的香蕉還來不及清理，梅姬又接著襲台。劉智維攝莫蘭蒂風災後，李致弘的蕉園內香蕉樹重創九成。劉智維攝",2016-09-25 15:58:00,697,"生活"
"103","民眾舉牌快閃表心聲　要南鐵地下化","（更新:增加影片）今天下午3時，台南火車站後站與青年路平交道，同步有民眾舉牌快閃支持南鐵地下化動作，前後時間15分鐘結束，連絡人劉瑋婷表示，南鐵地下化不能只聽到反對聲音，也要有支持聲音，才會有今天的快閃活動。在台南火車站後站前方斑馬線上，近10位年輕人舉著支持南鐵牌子，趁著綠燈時，以步行方式表達他們的聲音。同時在東區青年路平交道也有5名民眾，趁著柵欄放下之際，站在平交道前表達相同的訴求。參與快閃民眾表示，8月9日召開的內政部都委會中，全體委員一致同意通過行政院版本的鐵路地下化方案，鐵路地下化後，不僅市區的9處平交道將會消失，更可以有效降低平交道的交通意外事故發生機率，並解除鐵路對於台南市區都市發展的的阻礙，提供都市縫合的機會，希望藉此活動向市民傳達我們的聲音，讓鐵路地下化加速進行，促進城市的發展。（劉榮輝／台南報導）出版時間:15:47更新時間:15:56 民眾在東區青年路平交道前舉牌支持南鐵地下化。劉榮輝攝。民眾在台南火車站後站前方舉牌支持南鐵地下化。劉榮輝攝。",2016-09-25 15:56:00,571,"社會"
"104","松山機場跳電　原因不明","松山機場跳電！民航局台北國際航空站表示，松山機場第4島櫃於今天下午2時45分時跳電，原因不明，幸好馬上啟用備用電源，國際航線未受到影響，國內航線部份航線作業稍有影響，但很快恢復正常。目前松山機場作業正常。至於跳電原因，還在檢查中。（戴安瑋／台北報導）<U+00A0> 松山機場下午不明原因跳電，台北國際航空站已啟用緊急備用電源。讀者提供松山機場下午不明原因跳電，辦公室都沒電，黑漆漆，天花板上的燈光全滅。讀者提供松山機場下午不明原因跳電，連銀行都沒有電。讀者提供",2016-09-25 15:56:00,144,"生活"
"105","譏諷IS　約旦漫畫家法院外遭槍殺","約旦作家兼漫畫家哈塔（Nahed Hattar）因為在臉書發表譏諷激進組織「伊斯蘭國」（Islamic State，IS）的漫畫，上月因猥<U+4EB5>罪嫌遭到逮捕，他今天在首都安曼出庭時，在法院外遭暗殺身亡。哈塔的頭部中了3顆子彈，當場死亡，槍手也現場向安全部隊自首。約旦的《明日報》（Al-Ghad）報導指，槍手是昨天才從鄰國入境，但目前未知是哪個國家。哈塔的漫畫抵毀譏諷IS眼中的天堂，呈現聖戰士在帳蓬有女人同床相伴，且向真主要求飲酒。此漫畫一出，在社交網路引發爭議，也種下殺機。約旦目前有參與美國領軍在敘利亞與伊拉克的空襲IS行動，但也因此，今年6月21日境內邊界遭到自殺炸彈攻擊，造成7名邊界衛兵喪命。（國際中心／綜合外電報導）跟上國際脈動，請到蘋果繞著地球爆按讚<U+00A0>",2016-09-25 15:55:00,233,"國際"
"106","【獨家】36歲高圓圓懷孕　趙又廷「順其自然」","(新增：動新聞)趙又廷和中國女星高圓圓前年6月結婚，《蘋果》掌握消息，36歲高圓圓已懷孕，他回應「一切仍順其自然」，並未否認。他倆婚後頻傳有了愛的結晶，她今年1月探班時被拍到身穿寬鬆衣服，又以圍巾遮住腹部，傳出有喜，當時趙又廷透過經紀人表示：「計劃持續中。」今天是趙又廷32歲生日，小倆口和趙爸趙樹海、趙媽一家人在加拿大度假兼慶生，在生日傳出喜事，可說是最好的生日禮物，他今未否認，只以訊息表示「一切仍順其自然」。（宇若霏／台北報導）出版時間：14：27更新時間：15：54 高圓圓（左圖左起）和趙又廷結婚2年，她14日現身北京機場（右圖），準備飛加拿大和老公團聚。合成照片高圓圓14日被拍到衣著寬鬆。趙樹海（左）、趙又廷是演藝圈著名父子檔。資料照片",2016-09-25 15:54:00,53645,"娛樂"
"107","公視明選董事長　媒觀今辦董事座談","公視將於明日舉行董事會，選出新任董事長，台灣媒體觀察基金會選在今日舉辦座談，邀請邱家宜、陳郁秀、鄭自隆、張天立等新董事，暢談對公視的未來發展規劃與想法。公視新董事名單出爐後成焦點，外傳邱家宜、陳郁秀、鄭自隆3人有意角逐董事長，媒觀今舉辦座談會，邀請3人及其他新任董事出席，媒觀董事長賴鼎銘開場時強調，舉辦座談是想提供平台讓新任董事論述，並非為了明天的選舉。傳聞有意角逐董事長的邱家宜表示，公視董事長選舉是公共事務，董事要面對社會，爭取社會信賴及資源，公視不是諸多電視台中的一個，未來目標要讓公視成為影視音龍頭，善用公共資源、投資人才，台灣具文化厚度且文化多元，但現在電視內容都重複，簡單來說，就是電視內容配不上社會，接下來可以將集團的8個頻道做出區隔，讓大家看到各種文化。盛傳同樣有意角逐董事長的鄭自隆則不停強調，公視營運狀況良好，台內有許多好節目卻沒人看，原因是與民眾的喜愛有落差，電視為庶民文化，像易開罐一般好開、好用、用完就丟，公視應調整節目內容，不該只成為給特定群眾看的菁英電視，而要符合大眾喜好，也不該淪為政府的傳播工具。被視為熱門董事長人選的陳郁秀則說，希望將台灣創造成品牌，而公視就是台灣品牌的代言人，將台灣的自然環境、藝術、歷史、科技等豐富內容，呈現給國內及國際的觀眾，現代科技日新月異，應要有遠見及預測能力，才能掌握趨勢發展，修法更是當務之急，有好的政策及政府支持，才能將豐富內容順暢地對內對外傳播。（楊寧芷/台北報導）",2016-09-25 15:53:00,128,"生活"
"108","JPGA鑽石盃高球賽　台灣詹世昌逆轉奪冠","日巡鑽石盃高球賽，台灣男子職業球員詹世昌，在最後回合繳出低於標準8桿的62桿，合計低於標準10桿的280桿，逆轉拿下冠軍。這項賽事總獎金1.5億日幣(約4694萬台幣)，冠軍獨得3000萬日幣(約939萬台幣)。(陳國偉／綜合報導)【更多體育新聞訊息，請加入《蘋果運動超級吧》粉絲團】",2016-09-25 15:53:00,104,"體育"
"109","【壹週刊】佩岑速效保濕3招！老公也偷學！","【更新相關新聞】有著一個可愛兒子Ian的侯佩岑，出席Aveeno（艾惟諾）台灣上市發表的時候，有些小抱怨說：「有了兒子，保養時間都變少了～」她分享自己如何在有限時間內，讓保養發揮最好效果。「一瓶保濕力夠的乳液是必要的，」佩岑說：「無論身體或臉，只要保濕做得好，再加上簡單按摩手法，至少皮膚不會乾乾不舒服。」另外，她還分享自己最愛加強保養的小秘招，是什麼～請看片～（撰文：沈子晴　攝影：劉鴻昌）其他更多壹週刊內容請點我相關新聞地方媽媽必看！佩岑說差兩公分就差很多<U+00A0> 侯佩岑說一定要有一罐很好的保濕乳液，無論身體或臉。將燕麥經過活化萃取，保留維他命E、蛋白質等，能夠讓肌膚維持正成PH值，含有燕麥膠，溫和不刺激，能夠鎖水保濕。高效舒緩保濕乳。（圖片提供：艾惟諾）融合天然蠶絲蛋白與玻尿酸、膠原蛋白，好吸收，能夠加強肌膚潤澤。完美保濕乳液。（圖片提供：專科）保濕做得不夠，皮膚就容易黑色素沈澱，加入維他命C、E等七種亮白成分，還有薏仁萃取，魚子醬精華，能夠調整皮膚乾燥、暗沈等狀況。晶透亮白水凝凍。（圖片提供：艾杜紗）含有超過25%的乳油木果油，融合亞麻籽油、蜂蜜等，能夠改善肌膚緊繃。乳油木蠟染圖紋保濕身體霜。（圖片提供：歐舒丹）適合乾性肌膚，乳油木果油加上紫羅蘭葉萃取，觸感與味道都舒服。乳油木紫羅蘭輕柔潤膚霜。（圖片提供：歐舒丹）",2016-09-25 15:52:00,8288,"壹週刊"
"110","【好羨慕】這家公司擬周休3日　還發4.7萬通勤費","日本《共同社》報導，雅虎日本公司考慮在數年內逐步落實周休3日，這個制度適用於該公司全體5800名員工。報導指出，雅虎日本尚未決定新制度下的員工薪資，這麼做是為了吸引優秀人才，及避免員工為了照顧年邁雙親而辭職。雅虎日本也打算下月起每月提供最多15萬日圓（約4.7萬元台幣）的通勤費，讓住在偏遠地區的員工能搭新幹線通勤。另外，雅虎日本下月起也將把員工每月在家工作天數的上限，從2天提高至5天。（林文彬／綜合外電報導）",2016-09-25 15:52:00,447,"財經"
"111","彰化媽祖聯合遶境　以糧代金遶境減汙染","(更新：新增影片)「2016彰化縣媽祖聯合遶境祈福活動」今天上午在埤頭合興宮舉辦起駕典禮，彰化縣府提供120份平安米取代燒金紙，以埤頭鄉在地生產的好米，製作成與金紙相同大小的平安米，讓信徒用來參拜，並將平安米帶回享用或捐作公益，以減少空氣汙染。2016彰化縣媽祖聯合遶境祈福活動起駕日，依民間習俗「擲筊」向媽祖請示，擇定今天為出巡好日子，來自全縣10尊媽祖神尊集合於埤頭合興宮作客，置天台、起駕宴後，今天由彰化縣長魏明谷及各宮廟主委恭請媽祖神尊登上鑾轎，11間宮廟妝點深具各宮廟特色的媽祖座車，接著點燃起馬炮，鐘、鼓、哨角齊鳴，萬人隨駕起程，場面熱鬧非凡，遶境活動將於本月30日回到爐主埤頭合興宮，下月1日舉辦聯合祈福典禮交接會旗。魏明谷說，研究指焚香燒金造成的懸浮微粒PM2.5等空氣汙染物質，對大眾健康影響甚鉅，此次遶境活動更以「以糧代金」讓信徒用平安米參拜，可以不燒金紙，既能減少空汙，還能增添更多功德。（鄧惠珍／彰化報導）出版時間 1329更新時間 1551 來自各地的媽祖神尊齊聚合興宮作客。鄧惠珍攝。彰化各大媽祖廟11尊媽祖神尊排排坐，相當壯觀。鄧惠珍攝。彰化縣府提供120份平安米取代燒金紙。鄧惠珍攝。平安米就擺在金紙旁。鄧惠珍攝。彰化縣府推動「以糧代金」減少燒金紙汙染。鄧惠珍攝。彰化縣媽祖聯合遶境起駕。鄧惠珍攝。彰化縣各大媽祖廟媽祖展開6天的聯合遶境活動。鄧惠珍攝。",2016-09-25 15:51:00,2202,"生活"
"112","【有片】湯志民請辭　柯Ｐ：明天上班日再處理","（更新：增加影片）北市小內閣教育局長湯志民確定請辭，媒體詢問台北市長柯文哲是否批准，柯表示知道這件事(湯請辭)，但等明天上班日再處理。由於日前北市議員陳重文在議場爆料，北市小內閣裡的「湯霓陳」即教育局長湯志民、文化局長謝佩霓、原民會主委陳秀惠，可能會接連去職，目前湯已經請辭，媒體今追問柯，另外兩位局處長是否會走人，柯表示這個開玩笑的話就不要當真。（張博亭／台北報導）出版：15:30更新：15:48 【想知道更多，一定要看……】一張表看柯市府出走首長數　已達13人湯志民公開信　稱完成「階段性大工作」北市教育局長湯志民確定請辭，市長柯文哲今表示，等明天上班日再處理。資料照片柯文哲受訪。劉耿豪攝",2016-09-25 15:48:00,2269,"生活"
