"","bedroom","living_room","bathroom","building_floor","total_floor","area","houseage","price"
"487",2,2,1,3,7,20.14,50,1988
"488",3,2,2,9,14,55.17,0,4680
"489",2,2,2,8,19,85.75,14,6600
"490",4,2,2,4,12,50.51,31,6600
"491",2,2,2,3,7,28.06,32,1958
"492",4,2,2,13,19,112.7,5,13580
"493",4,2,2,5,7,73.98,7,6998
"494",3,2,2,6,7,42.09,39,3499
"495",3,2,2,5,20,74.32,1,9990
"496",4,2,2,4,5,33.5,40,2998
"497",4,2,3,11,23,97.31,2,10988
"498",3,2,2,3,7,38.81,40,3380
"499",3,2,2,2,7,39.63,38,3980
"500",3,2,2,5,7,53.14,31,4350
"501",2,2,2,2,6,22.86,34,1998
"502",3,2,1,6,10,23.03,15,2188
"503",3,2,2,3,12,45.6,45,4920
"504",2,1,1,8,14,22.33,10,2380
"505",4,2,2,5,7,39.3,37,3138
"506",2,2,2,3,7,28.06,32,1958
"507",4,2,2,2,8,58.95,13,5833
"508",4,2,3,7,23,113.23,2,14988
"509",2,2,1,5,10,26.32,31,2800
"510",3,2,2,2,7,39.63,36,3980
"511",4,2,1,8,16,36.04,36,3488
"512",2,1,1,8,13,36.72,8,2680
"513",3,2,2,5,7,40.93,6,3988
"514",7,3,4,13,14,114.76,28,10800
"515",3,2,2,9,11,34.45,36,2400
"516",1,1,1,25,26,14.54,28,1380
"517",4,3,3,7,7,28.2,35,3520
"518",3,2,2,2,7,53.67,45,5314
"519",3,2,2,6,6,30.65,36,3980
"520",4,2,2,5,7,39.3,37,3138
"521",4,2,2,12,14,39.27,39,3888
"522",4,2,2,5,7,73.98,7,6998
"523",NA,NA,NA,4,9,18.41,30,1888
"524",2,2,1,12,14,26.97,10,3950
"525",2,1,2,3,6,11.17,14,1495
"526",1,1,1,7,12,13.58,36,1298
"527",3,2,2,5,12,35.12,32,3360
"528",2,2,2,8,19,85.75,14,6600
"529",4,2,2,5,13,80.73,6,6500
"530",3,2,1,3,7,51.74,39,5170
"531",3,2,3,3,15,72.99,3,8760
"532",2,2,2,4,14,56.19,37,6180
"533",4,2,2,4,12,50.51,31,6600
"534",4,2,3,6,25,111.52,28,9800
"535",4,4,4,6,6,32.41,33,4200
"536",2,2,1,5,7,18.87,36,2180
"537",2,2,1,12,12,35.51,14,2380
"538",2,1,1,9,9,9.14,14,1288
"539",3,2,2,5,7,59.46,10,6800
"540",1,1,1,2,12,12.73,8,1386
"541",3,2,2,10,14,60.09,12,3900
"542",2,1,1,3,7,20.14,49,1988
"543",3,2,2,7,7,46.38,31,4980
"544",4,2,2,3,12,47.22,36,4180
"545",4,2,3,8,15,82.3,2,9680
"546",4,2,2,2,7,76.46,28,8180
"547",2,1,2,7,12,44.16,45,5000
"548",3,2,2,10,16,54.39,22,4800
"549",2,2,2,7,12,34.01,40,3080
"550",NA,NA,NA,7,7,46.98,34,4800
"551",3,2,3,11,16,126.46,12,15800
"552",4,2,2,4,7,57.9,36,4980
"553",1,1,1,2,8,10.14,10,1248
"554",3,2,2,7,12,39.67,34,4200
"555",NA,NA,NA,1,6,19.12,10,2588
"556",1,1,1,2,6,24.27,3,2188
"557",4,2,3,8,15,82.3,2,9680
"558",4,2,2,6,7,90.17,8,11500
"559",3,2,2,4,7,31.9,33,2680
"560",3,2,2,3,7,41.38,42,4180
"561",1,1,1,4,6,18.16,17,2280
"562",1,1,1,5,11,10.78,12,1730
"563",3,2,2,14,17,30.24,39,3480
"564",3,1,1,3,7,20.14,39,1988
"565",5,2,2,2,7,71.68,10,7600
"566",2,2,1,4,6,20.67,23,2150
"567",3,2,2,8,15,37.11,36,3500
"568",3,2,2,14,17,30.24,39,3480
"569",3,2,2,7,7,27,49,2730
"570",3,2,1,12,17,30.54,34,2588
"571",4,2,2,3,7,46.37,30,4200
"572",5,2,2,2,7,76.46,28,8180
"573",2,2,3,7,7,100.08,12,14500
"574",3,2,2,3,12,40.99,31,2980
"575",4,2,2,2,25,58.29,2,5700
"576",3,2,2,5,20,74.31,1,9990
"577",4,2,2,13,19,112.77,5,13580
"578",3,2,2,4,14,33.41,31,2970
"579",3,2,2,2,12,31.95,32,2210
"580",3,2,2,11,12,35.63,32,2498
"581",4,2,2,4,7,36.9,38,3300
"582",3,2,2,5,20,74.32,0,9990
"583",4,2,2,4,12,50.51,31,6600
"584",3,2,2,5,20,74.32,0,9990
"585",3,2,2,14,17,30.23,40,3480
"586",3,2,2,10,16,54.38,23,4800
"587",3,2,1,12,17,30.54,33,2588
"588",3,1,2,14,14,44.54,36,5428
"589",4,2,2,5,7,39.3,37,3138
"590",2,2,1,8,11,19.5,34,2250
"591",NA,NA,NA,1,7,40.71,40,11000
"592",1,2,1,8,12,18.03,41,1900
"593",3,1,1,3,7,53.69,9,5980
"594",3,2,4,12,16,210.25,2,24760
"595",4,2,3,5,11,123.22,7,12688
"596",3,2,2,3,7,33.52,37,3350
"597",2,1,2,3,6,11.17,14,1495
"598",NA,NA,NA,25,26,14.54,28,1380
"599",3,2,2,3,12,86.58,4,5468
"600",2,2,2,4,14,56.19,38,6180
"601",3,2,3,11,16,126.46,15,15800
"602",1,1,1,14,14,25.34,9,3480
"603",4,2,3,10,15,105.44,6,14600
"604",2,2,1,8,11,19.5,33,2250
"605",4,2,2,5,7,39.3,37,3138
"606",3,2,2,11,14,59.27,3,7180
"607",2,2,2,7,7,100.07,12,14500
"608",4,2,2,5,9,65.92,16,8000
"609",3,1,1,3,7,20.14,49,1988
"610",3,2,2,7,13,84.06,6,6870
"611",2,1,1,7,7,15.52,39,1699
"612",3,2,2,11,12,86.58,4,6660
"613",4,2,2,6,7,43.76,42,4455
"614",3,2,1,8,17,33.36,33,2580
"615",3,2,2,8,15,37.11,36,3500
"616",2,1,2,7,12,44.16,45,4680
"617",3,2,2,1,7,34.9,35,5250
"618",1,1,1,12,14,8.04,39,990
"619",4,2,2,4,12,50.51,31,6600
"620",3,2,2,8,12,82.46,4,9600
"621",4,2,2,7,10,66.62,23,7980
"622",4,2,3,2,11,101.64,5,11500
"623",2,2,2,4,14,56.19,38,6180
"624",2,2,1,8,12,18.03,41,1900
"625",4,2,2,5,7,58.17,8,5998
"626",4,2,2,3,16,45.12,22,4285
"627",4,2,2,9,15,51.89,28,4300
"628",2,2,1,12,12,35.51,13,2480
"629",4,2,2,4,12,50.51,31,6600
"630",4,2,3,9,12,41.48,42,5900
"631",3,2,2,3,7,43.87,39,4380
"632",3,2,2,5,12,32.76,37,2688
"633",4,2,3,10,23,82.3,2,10999
"634",3,2,2,12,23,81.25,1,9880
"635",4,2,2,5,6,65.2,28,6800
"636",4,2,2,7,13,79.86,3,6870
"637",4,2,2,5,12,63.1,47,6888
"638",4,2,2,4,6,53.29,31,4800
"639",3,2,2,4,12,47.81,31,4980
"640",4,2,3,15,23,98.24,2,13228
"641",2,2,2,2,6,22.86,37,1998
"642",1,1,1,4,7,17.37,9,1730
"643",3,2,2,6,7,42.09,39,3499
"644",NA,NA,NA,12,12,20.28,37,1950
"645",3,2,2,9,12,35,31,3500
"646",3,2,2,11,14,44.26,3,7180
"647",2,2,2,2,6,22.86,34,1998
"648",3,2,2,5,14,34.1,31,2750
"649",1,1,1,2,9,13,18,1498
"650",4,2,2,10,10,40.98,34,1638
"651",NA,NA,NA,2,5,12.4,17,1080
"652",3,1,1,3,7,20.1,49,1988
"653",3,2,3,15,15,71.5,1,8500
"654",1,1,1,5,7,14.57,9,1580
"655",5,2,2,7,17,80.8,31,11800
"656",1,1,1,4,7,17.64,9,1888
"657",4,2,2,1,6,61.22,18,6800
