"","bedroom","living_room","bathroom","building_floor","total_floor","area","houseage","price"
"952",4,2,2,11,15,65.37,10,7180
"953",3,2,2,4,7,45.84,32,3500
"954",3,2,2,7,12,49.96,20,6800
"955",1,2,2,12,12,34.62,37,3350
"956",2,2,1,6,13,23.68,23,2668
"957",2,2,2,8,12,49.43,39,5980
"958",NA,NA,NA,13,14,45.37,33,7200
"959",3,1,1,3,5,21.86,21,2380
"960",2,2,2,10,14,36.43,40,3278
"961",2,2,1,4,6,20.67,23,2150
"962",3,2,1,5,8,39.77,24,4080
"963",4,2,2,9,12,45.79,34,5200
"964",NA,NA,NA,3,6,24.26,4,1880
"965",4,2,2,3,5,70.28,17,7700
"966",4,2,2,6,7,90.17,6,11500
"967",2,2,2,8,19,85.75,14,6600
"968",4,3,2,3,7,81.71,34,7780
"969",4,2,2,2,13,86.66,8,5280
"970",2,2,2,4,7,47.28,31,4380
"971",4,2,2,5,6,55.07,28,6800
"972",2,2,2,7,7,38,30,5980
"973",1,1,1,6,8,18.67,9,1450
"974",2,2,1,6,7,21.5,30,2130
"975",2,3,3,6,6,44.62,39,4360
"976",3,2,2,17,17,39.05,33,3268
"977",4,2,2,2,10,41.82,27,4380
"978",NA,NA,NA,10,38,189.67,3,28500
"979",NA,NA,NA,6,20,85.06,0,12450
"980",2,2,1,9,12,25.5,35,2968
"981",4,2,2,7,12,66.7,35,7600
"982",3,2,2,8,12,44.5,31,3998
"983",2,1,1,10,11,10.17,19,1390
"984",3,2,1,12,17,30.54,33,2588
"985",3,2,1,4,12,24.02,41,2600
"986",3,2,2,9,11,30.53,37,2780
"987",1,1,1,4,5,15.15,23,1380
"988",2,2,2,8,19,85.75,14,6600
"989",4,2,2,7,7,90.17,8,11500
"990",2,1,1,7,12,16.76,40,2180
"991",4,3,1,11,13,79.07,41,7600
"992",4,2,2,11,15,47.53,38,3680
"993",1,1,1,5,14,12.41,9,1498
"994",3,2,2,3,7,39.17,37,3680
"995",1,1,1,2,9,11.73,18,1500
"996",4,2,2,11,15,65.37,10,7180
"997",2,2,2,7,12,49.96,20,6800
"998",4,2,2,5,6,42.49,39,4300
"999",5,2,4,2,9,105.95,14,16500
"1000",3,2,3,1,7,38.32,40,4368
"1001",4,2,2,13,19,112.77,5,13580
"1002",3,2,2,5,20,74.31,0,9990
"1003",3,2,2,10,12,41.93,43,4468
"1004",3,2,2,5,7,53.15,32,4350
"1005",3,2,3,3,15,72.99,2,8800
"1006",4,2,3,5,6,51.07,47,4880
"1007",1,1,1,14,14,22.33,8,3288
"1008",3,2,2,15,15,33.81,35,2498
"1009",2,2,2,4,7,34.16,37,2000
"1010",3,2,2,14,18,60.95,21,6800
"1011",5,2,5,10,38,189.68,3,28500
"1012",3,2,2,2,7,53.68,44,5314
"1013",2,2,1,7,15,42.38,1,4500
"1014",4,2,4,10,16,99.57,4,15000
"1015",NA,NA,NA,10,12,23.5,43,2450
"1016",3,1,1,3,5,21.86,21,2380
"1017",3,2,2,5,7,53.15,31,4350
"1018",3,2,2,4,26,69.83,28,4850
"1019",1,2,2,12,12,34.62,37,3350
"1020",4,2,3,5,6,51.07,47,4880
"1021",3,2,2,3,6,41,35,3895
"1022",4,2,2,6,7,56.49,35,4980
"1023",3,2,3,7,17,71.93,27,6980
"1024",4,2,2,2,25,58.29,2,5700
"1025",1,2,2,12,12,34.62,37,3350
"1026",2,2,2,2,6,22.8,34,1998
"1027",1,1,1,3,7,12.52,21,1248
"1028",3,2,2,4,14,69.58,18,7800
"1029",3,2,2,2,7,37.01,34,2800
"1030",3,2,2,4,26,69.83,28,4850
"1031",4,2,2,2,25,58.29,2,5700
"1032",1,2,2,12,12,34.62,38,3350
"1033",2,2,2,7,10,49.96,21,6800
"1034",3,2,3,7,17,71.93,28,6980
"1035",3,2,2,4,26,69.83,27,4850
"1036",3,2,2,7,7,46.38,31,4980
"1037",2,1,1,4,7,21.37,24,1680
"1038",4,2,2,6,7,38.73,36,3588
"1039",3,2,3,10,23,89.81,2,10588
"1040",2,2,1,8,14,31.37,40,2988
"1041",3,2,2,4,26,69.83,28,4850
"1042",3,2,2,4,7,45.84,32,3500
"1043",4,2,2,5,13,80.73,6,6800
"1044",4,2,2,10,16,67.6,36,5199
"1045",6,4,3,24,26,158.31,27,16899
"1046",4,3,4,22,25,126.06,28,12000
"1047",2,2,2,5,12,35,32,3190
"1048",4,2,2,2,7,40.74,35,3700
"1049",NA,NA,NA,6,12,22,37,2130
"1050",3,2,2,3,7,41.93,44,4288
"1051",2,1,1,8,14,40.86,37,3674
"1052",4,2,2,3,12,47.22,36,4180
"1053",3,2,2,13,38,60.39,3,7088
"1054",4,2,2,5,7,62.8,13,7888
"1055",4,2,2,7,7,46.38,31,4980
"1056",3,2,2,4,7,34.74,30,3280
"1057",2,2,1,5,8,23.61,23,1588
"1058",1,1,1,14,14,11.02,9,1288
"1059",3,2,2,4,16,43.9,32,4680
"1060",1,1,1,4,6,11.58,24,1080
"1061",2,1,1,3,5,19.6,11,1800
"1062",3,2,2,2,6,26.23,46,2480
"1063",3,1,1,12,12,21.6,41,2380
"1064",2,1,2,3,14,31.32,9,3150
"1065",4,2,2,6,14,54.22,36,5380
"1066",4,2,3,6,13,64.77,40,6180
"1067",4,2,1,3,6,22.85,32,2250
"1068",4,2,3,5,6,57.29,43,5800
"1069",3,2,2,1,7,33.76,45,5200
"1070",2,2,1,7,7,15.52,39,1699
"1071",3,2,2,5,7,43.06,34,3888
"1072",4,2,3,6,25,111.52,28,9800
"1073",5,3,5,3,13,328.8,22,30000
"1074",4,2,3,6,25,111.52,28,9800
"1075",4,2,3,2,11,101.63,4,11500
"1076",1,1,1,4,6,13.73,22,1720
"1077",3,2,2,13,38,60.39,3,7088
"1078",1,1,1,2,7,16.75,0,1728
"1079",4,2,2,3,12,47.22,127,4380
"1080",2,1,1,9,9,9.14,14,1288
"1081",4,2,2,2,27,60.41,27,4980
"1082",4,2,2,2,27,60.41,27,4980
"1083",3,2,3,23,23,97.3,2,13480
"1084",2,2,1,7,7,15.52,39,1699
"1085",3,2,2,7,7,46.38,31,5100
"1086",3,2,2,9,12,35.6,31,3500
"1087",2,2,1,4,6,20.67,23,2150
"1088",3,2,2,5,7,26.74,35,2650
"1089",4,2,2,6,7,90.17,9,11500
"1090",3,2,2,5,7,26.74,35,2650
"1091",3,2,2,3,7,33.52,37,3350
"1092",3,2,2,8,16,31.69,36,3100
"1093",3,2,2,1,6,73.59,16,7660
"1094",3,2,2,3,7,31.93,47,2518
"1095",4,2,2,14,14,45.64,37,4880
"1096",4,2,2,2,6,49.06,31,4500
"1097",3,2,2,7,19,40.3,32,3688
"1098",5,2,3,2,7,66.82,37,4780
"1099",3,2,2,3,7,33.52,37,3350
"1100",4,2,2,8,14,61,17,7300
"1101",3,2,2,5,12,35.12,32,3360
"1102",3,2,2,2,7,37.01,34,2800
"1103",3,2,2,5,7,26.74,35,2650
"1104",NA,NA,NA,10,38,189.67,29,28500
"1105",3,2,2,11,12,49.63,37,7580
"1106",4,2,2,6,6,50,42,4688
"1107",3,2,2,2,7,39.63,38,3980
"1108",4,2,2,6,7,54.94,38,5880
"1109",3,2,2,7,7,41.05,43,3880
"1110",1,2,1,8,12,18.03,41,1900
"1111",5,2,2,5,5,46,32,5580
"1112",1,1,1,4,7,11,31,880
"1113",3,2,2,4,12,59,31,4980
"1114",3,2,2,7,12,34.01,40,3080
"1115",2,2,1,2,7,17.8,39,2150
"1116",7,2,5,7,7,131.58,36,15800
"1117",3,2,2,3,7,43.87,39,4380
"1118",3,2,2,5,7,53.15,31,4350
"1119",2,2,1,3,7,20.13,49,1988
"1120",3,2,2,2,6,38.98,41,3730
"1121",2,2,2,11,12,28.5,35,2560
"1122",4,2,2,3,7,52.71,46,5598
"1123",4,2,2,7,7,43.58,35,3480
"1124",2,2,1,3,7,20.15,39,2168
"1125",3,2,2,3,12,40.99,31,2980
"1126",2,2,2,2,6,22.86,35,1998
"1127",4,2,2,6,14,54.22,36,5380
"1128",3,2,2,5,12,35.12,32,3360
"1129",NA,NA,NA,15,15,76.66,0,9813
"1130",3,2,2,5,12,35.12,33,3360
"1131",3,2,2,5,12,35.12,33,3360
"1132",4,2,3,2,11,101.64,5,11500
"1133",3,2,3,11,23,97.3,1,11988
"1134",2,2,2,3,7,28.06,34,1958
"1135",3,2,2,3,7,31.93,48,2518
"1136",2,2,1,7,7,17.09,29,1680
"1137",3,2,2,5,20,74.32,0,9990
"1138",5,3,2,9,9,51.88,16,5600
"1139",2,2,2,6,12,34.67,37,2850
"1140",3,2,2,3,7,33.52,37,3350
"1141",2,2,1,4,14,20.65,40,2188
"1142",3,2,3,12,15,75.31,30,8088
"1143",2,2,2,3,7,44.28,42,4550
"1144",3,2,2,2,10,70.57,4,6600
"1145",4,2,2,2,13,151.98,9,15588
"1146",3,2,1,4,17,31.26,33,2388
"1147",2,2,2,4,14,56.19,38,6180
"1148",3,2,2,10,12,41.93,43,4468
"1149",3,2,2,3,7,33.51,37,3350
"1150",2,2,1,4,7,18.65,0,2088
"1151",4,2,3,16,19,108.09,5,11200
"1152",3,2,2,11,19,100.82,5,11200
"1153",1,1,1,2,6,8.87,10,880
"1154",4,2,3,13,19,112.77,5,13580
"1155",3,2,3,7,17,71.93,27,6980
"1156",2,2,1,7,15,42.38,1,4500
"1157",3,2,2,2,11,35.24,37,3168
"1158",3,2,2,5,7,26.74,35,2650
"1159",4,2,2,3,10,40.62,8,3998
"1160",3,2,2,8,11,51,36,7656
"1161",3,2,2,5,7,49.47,33,4800
"1162",6,2,3,1,7,69.19,35,7880
"1163",2,2,1,4,6,20.67,23,2150
"1164",4,2,2,2,7,67.2,28,8180
"1165",1,1,1,8,14,10.65,9,1270
"1166",2,2,2,6,15,64.65,46,7950
"1167",3,2,2,5,7,26.74,35,2650
"1168",1,2,1,12,12,34.62,37,3350
"1169",3,2,2,5,7,53.1,33,4350
"1170",3,2,2,5,7,33.04,35,2560
"1171",4,2,3,2,7,44.5,37,5999
"1172",3,1,1,4,10,13.79,11,1790
"1173",NA,NA,NA,3,12,11.59,22,1236
"1174",3,2,2,5,12,35.12,33,3360
"1175",3,2,1,5,5,34.9,25,3780
"1176",1,1,1,4,6,13.73,22,1720
"1177",1,1,1,4,6,13.73,22,1720
"1178",NA,NA,NA,2,5,8.87,10,850
"1179",2,2,2,2,6,22.86,34,1998
"1180",2,2,2,2,6,22.8,34,1998
"1181",NA,NA,NA,2,7,43.85,37,4380
"1182",1,2,1,14,14,20.09,40,2398
"1183",2,1,1,8,11,19.5,34,2250
"1184",1,2,1,5,11,22.47,40,2460
"1185",2,2,2,8,14,34.29,3,3680
"1186",4,2,4,15,16,86.7,23,7370
"1187",4,1,1,8,13,50.44,10,5988
"1188",3,2,2,9,12,35.92,30,3500
"1189",3,2,2,2,7,47.64,44,4680
"1190",2,2,2,6,7,29.15,39,2780
"1191",3,2,2,3,7,33.52,38,3350
"1192",3,2,2,5,7,39.87,32,4350
"1193",3,2,2,1,7,47.07,32,3580
"1194",NA,NA,NA,7,14,91.25,6,11800
"1195",3,2,2,11,15,33.81,38,2280
"1196",4,2,2,7,7,39.65,39,4388
"1197",6,4,5,13,14,114.75,28,10800
"1198",3,2,3,11,13,122.83,6,11800
"1199",4,2,2,6,6,49.96,42,4550
"1200",7,3,4,13,14,114.76,28,10800
"1201",3,2,1,5,7,49.47,33,4800
"1202",3,2,1,19,19,31.03,32,2468
"1203",3,2,2,6,7,33.79,36,2758
"1204",3,2,2,4,7,45.83,32,3500
"1205",3,1,1,3,5,21.86,21,2380
"1206",3,2,2,5,7,49.47,30,4800
"1207",5,3,2,9,9,51.88,16,5600
"1208",2,2,2,8,12,49.41,39,5980
"1209",2,2,2,2,7,39.41,35,3900
"1210",4,2,2,5,7,39.3,34,3138
"1211",4,2,2,1,7,59.59,15,7280
"1212",3,2,2,2,7,37.01,34,2800
"1213",3,2,2,13,38,60.39,3,7088
"1214",3,2,2,5,12,35.12,32,3360
"1215",3,2,2,5,7,62.8,13,7888
"1216",3,2,2,5,7,26.74,34,2650
"1217",4,2,2,3,12,47.22,36,4180
"1218",1,1,1,5,12,26.3,40,2850
"1219",2,2,1,5,10,26.32,31,2800
"1220",2,1,1,3,5,21.86,22,2380
"1221",3,2,2,2,7,47.64,44,4680
"1222",2,2,1,5,11,22.47,40,2560
"1223",3,2,2,5,7,49.48,32,4800
"1224",3,2,4,11,16,213.27,3,22988
"1225",NA,NA,NA,7,7,59.2,34,4880
"1226",2,2,3,7,7,100.08,10,14500
"1227",3,2,3,7,17,58.55,28,6980
"1228",4,2,2,6,14,54,35,5380
"1229",1,2,2,12,12,34.62,37,3350
"1230",3,2,2,6,7,39.95,45,4500
"1231",1,1,1,7,10,8.67,11,1170
"1232",3,2,2,5,12,44.02,39,4988
"1233",3,2,2,10,12,44.78,47,6000
"1234",3,2,2,9,11,30.53,37,2780
"1235",2,2,1,5,8,30.32,9,2580
"1236",4,2,2,5,7,58.17,8,5998
"1237",3,2,2,7,7,46.39,32,4980
"1238",2,2,2,7,7,41.38,40,4550
"1239",3,2,1,12,17,30.54,31,2578
"1240",4,2,2,25,26,43.83,33,7980
"1241",4,2,2,4,12,50.51,31,6600
"1242",NA,NA,NA,12,14,14.32,0,2126
"1243",1,1,1,4,5,15.15,23,1380
"1244",2,2,1,2,5,25.11,22,2650
"1245",3,2,2,5,7,26.74,35,2650
"1246",3,2,2,4,26,69.83,27,4850
"1247",4,2,2,5,14,58.17,37,6980
"1248",4,2,4,2,13,112.6,9,15588
"1249",2,2,2,11,12,68.99,4,7468
"1250",3,2,2,5,7,53.15,31,4350
"1251",4,2,3,15,23,120.74,2,13228
"1252",2,2,2,6,15,64.65,6,7950
"1253",2,2,1,8,13,36.71,8,2688
"1254",2,1,1,10,15,17,1,2680
"1255",2,2,2,4,14,56.19,38,6180
"1256",2,2,1,7,7,15.52,39,1699
"1257",2,2,1,4,6,20.67,23,2150
"1258",4,2,3,2,11,101.63,4,11500
"1259",3,2,3,7,17,58.55,28,6980
"1260",3,2,2,12,17,49,32,5890
"1261",2,2,1,7,7,15.52,39,1699
"1262",3,2,2,5,7,26.74,35,2650
"1263",4,2,2,11,15,65.37,10,7180
"1264",2,2,2,3,7,28.06,32,1958
"1265",3,2,2,5,7,26.74,35,2650
"1266",3,2,2,14,18,60.95,21,6800
"1267",2,1,1,10,12,26.67,28,3168
"1268",3,2,2,14,18,60.95,21,6800
"1269",4,2,2,5,6,65.36,25,6800
"1270",2,3,3,11,15,112.83,10,11880
"1271",3,2,2,3,7,33.52,37,3350
"1272",4,2,2,13,19,112.77,5,13580
"1273",3,2,3,12,15,75.31,31,8088
"1274",4,2,2,2,7,71.68,10,7600
"1275",4,2,2,2,7,76.46,28,8180
"1276",4,2,2,7,7,39.65,39,4388
"1277",4,2,3,5,6,51.07,47,4880
"1278",4,2,2,3,6,50.34,33,5800
"1279",2,2,2,11,12,42.37,5,5488
"1280",4,2,3,12,23,97.31,2,12168
"1281",1,1,1,4,7,15.88,9,2208
"1282",3,2,2,5,12,44.02,40,4988
"1283",3,2,3,6,7,53.72,41,3500
"1284",3,2,2,6,7,43.11,37,3330
"1285",3,2,2,5,20,74.32,0,9990
"1286",3,2,2,5,7,26.74,35,2650
"1287",3,2,3,3,15,72.99,1,8800
"1288",4,2,2,7,12,66.7,35,7600
"1289",3,2,3,5,7,83.91,7,9800
"1290",2,2,1,6,8,15.44,10,2500
"1291",3,2,2,5,7,26.74,35,2650
"1292",5,2,5,10,38,189.68,3,28500
"1293",2,2,1,6,13,23.68,22,2668
"1294",4,2,2,3,12,47.22,36,4180
"1295",3,2,2,6,6,27.41,40,2880
"1296",4,2,2,4,7,52.63,40,5180
"1297",1,2,1,4,7,15.88,9,2208
"1298",1,1,1,7,16,11.08,21,1200
"1299",3,2,2,4,26,69.83,27,4850
"1300",2,1,1,7,7,17.09,30,1688
"1301",1,2,1,4,7,15.88,9,2208
"1302",1,1,1,2,7,12.14,29,1198
"1303",2,2,1,8,11,19.5,32,2250
"1304",2,2,1,4,12,25.06,8,2672
"1305",4,2,2,6,7,38.73,38,3588
"1306",4,3,3,2,6,58.15,42,5500
"1307",3,2,2,3,7,41.93,44,4288
"1308",4,2,2,2,7,71.67,10,7600
"1309",2,2,1,4,18,26.92,30,2500
"1310",3,2,2,3,7,33.52,37,3350
"1311",4,2,2,2,8,58.96,13,5833
"1312",3,2,3,7,17,71.93,28,6980
"1313",1,1,1,2,12,19.38,14,1650
"1314",2,2,2,2,7,39.41,35,3900
"1315",4,2,3,15,23,113.24,2,13228
"1316",4,2,2,2,7,71.68,10,7680
"1317",4,2,2,3,7,81.71,35,7780
"1318",3,2,2,5,12,35.12,32,3360
"1319",4,2,2,7,7,50,35,4880
"1320",4,2,3,15,21,90.52,36,11020
"1321",4,2,3,2,11,101.63,4,11500
"1322",2,2,2,2,7,39.41,35,3900
"1323",4,2,2,6,12,57.3,35,5099
"1324",6,6,6,3,7,47.96,31,4588
"1325",2,2,2,3,7,28.06,32,1958
"1326",2,1,1,7,7,15.52,39,1699
"1327",3,2,3,15,19,93.67,14,10800
"1328",2,2,2,4,6,37.2,34,3720
"1329",2,2,1,7,7,17.09,30,1680
"1330",3,2,2,3,7,33.52,37,3350
"1331",5,2,2,7,17,80.8,31,11800
"1332",4,2,2,4,12,33.99,35,2988
"1333",4,2,2,5,13,80.73,6,6500
"1334",1,1,1,4,7,21.52,3,1980
"1335",4,2,2,3,12,47.22,36,4380
"1336",1,1,1,3,7,17.56,35,1280
"1337",3,2,2,3,7,33.52,37,3350
"1338",2,2,2,6,15,64.65,6,7950
"1339",2,2,1,4,11,15.22,38,1480
"1340",1,1,1,4,6,18.16,17,2280
"1341",4,2,2,2,7,41.22,40,4780
"1342",3,2,2,5,12,35.12,32,3360
"1343",4,2,2,7,10,66.62,23,7980
"1344",2,1,1,6,7,19.18,7,2488
"1345",3,2,2,3,7,31.93,48,2518
"1346",4,2,2,5,9,65.92,16,8000
"1347",2,2,2,8,12,49.43,39,5980
"1348",3,2,2,3,7,38.82,40,3380
"1349",3,2,2,3,14,75.05,30,10688
"1350",4,2,2,13,19,112.77,5,13580
"1351",NA,NA,NA,1,13,152.99,10,29000
"1352",3,1,2,3,7,44.28,42,3977
"1353",2,2,1,5,10,26.32,31,2800
"1354",NA,NA,NA,10,38,189.67,3,28500
"1355",3,2,1,8,14,27.07,30,2300
"1356",5,2,2,3,15,73,44,9300
"1357",3,2,2,5,12,35.12,33,3360
"1358",4,2,2,4,7,57.88,36,4980
"1359",3,2,1,19,19,30.64,33,2488
"1360",3,2,2,6,7,46.03,10,4580
"1361",3,2,2,1,6,73.59,16,7660
"1362",1,1,1,8,17,14.77,37,1680
"1363",3,2,2,3,7,33.52,37,3350
"1364",2,2,2,3,7,28.06,32,1958
"1365",3,2,2,3,7,33.52,37,3350
"1366",NA,NA,NA,4,38,155.06,4,21800
"1367",4,2,2,6,13,94.76,13,9360
"1368",2,2,2,6,15,64.65,6,7950
"1369",3,2,3,11,16,126.46,15,15800
"1370",4,2,3,12,23,97.31,2,12138
"1371",NA,NA,NA,2,7,47.73,28,4380
"1372",3,2,2,3,7,41.38,41,4180
"1373",3,2,2,4,7,31.94,35,2680
"1374",4,2,2,5,7,63.81,42,6700
"1375",2,1,1,7,7,17.09,29,1680
"1376",4,2,3,10,15,105.43,6,14600
"1377",2,2,2,6,15,64.65,6,7950
"1378",3,2,2,4,7,36.79,39,3288
"1379",2,1,1,2,7,29.34,8,2550
"1380",3,2,2,2,7,37.01,34,2800
"1381",2,2,3,7,7,100.08,11,14500
"1382",NA,NA,NA,13,14,103.09,5,12880
"1383",4,2,2,3,15,72.99,42,9800
"1384",2,2,2,6,7,29.16,40,2880
"1385",1,1,1,9,14,20.8,9,2450
"1386",2,2,2,8,12,49.43,39,5980
"1387",4,2,3,5,7,100.82,8,9800
"1388",5,2,2,7,12,66.7,35,7600
"1389",4,3,4,22,25,126.05,29,12000
"1390",4,2,2,2,7,43.92,35,4188
"1391",6,4,3,24,26,158.31,29,18880
"1392",4,2,3,12,23,97.31,2,12138
"1393",3,2,2,5,7,35.93,35,2860
"1394",2,2,2,7,7,50.09,41,4760
"1395",3,2,3,7,17,71.93,28,6980
"1396",3,2,2,7,7,41.05,43,4090
"1397",4,2,2,9,12,55.3,39,5880
"1398",3,2,3,1,7,38.3,40,4368
"1399",3,2,2,2,12,26.57,39,2680
"1400",1,1,1,3,38,22.32,4,3170
"1401",3,2,2,12,38,44.25,3,6790
"1402",1,1,1,4,6,13.73,22,1720
"1403",1,1,1,2,15,17.86,39,1660
"1404",1,1,1,6,6,10.27,11,1339
"1405",5,2,2,7,17,80.8,32,11800
"1406",1,2,2,8,12,29.72,9,3450
"1407",4,2,2,5,7,62.8,13,7888
"1408",3,2,2,3,7,43.87,39,4380
"1409",2,1,1,5,13,34.54,1,2185
"1410",3,2,2,14,17,30.24,39,3480
"1411",3,2,2,3,14,65.3,20,10900
"1412",4,1,1,8,13,50.44,10,5988
"1413",3,1,3,2,7,35,38,3300
"1414",3,1,1,2,7,16,9,1788
"1415",3,2,2,12,12,23.67,32,2000
"1416",4,2,2,9,12,43.43,31,4300
"1417",4,2,2,12,17,49.08,31,5890
"1418",4,2,2,3,6,52.08,40,5480
"1419",3,2,2,12,23,81.24,2,9880
"1420",4,2,3,5,11,123,5,13990
"1421",3,2,2,2,14,41.9,30,3380
"1422",4,1,1,8,16,36.04,36,3488
"1423",3,2,3,8,16,90.12,3,12588
"1424",2,1,1,6,7,17.05,30,1999
"1425",3,2,2,7,7,36.08,39,3680
