title,date,category,view_count,content
美股開盤齊挫　日圓、黃金行情俏,2016年04月05日22:19,財經,2360,全球經濟成長疲弱疑慮加深，美股3大指數今開盤齊步走低，道瓊工業指數盤初一度下跌136.55點或0.77%至17600.45點、S&P 500指數挫跌0.98%至2045.85點，納斯達克指數跌0.93%至4846.29點，延續周一跌勢。IMF（國際貨幣基金）主席拉加德（Christine Lagarde）今在法蘭克福接受彭博電視訪問時表示，如今全球經濟前景陰雲密佈，成長疲弱、欠缺就業機會、通膨欲振乏力且負債仍高，下行風險持續攀升。拉加德說：「我們所恐懼的正是經濟陷入這樣的新平庸（new mediocre）。」她敦促各國政府預先推動結構改革，以提振成長潛力，並再次警告單靠貨幣政策無法支撐推動經濟成長的重擔。帶動S&P 500指數自2月低點反彈13%的強勁動力已開始消散，導致美股今追隨亞股、歐股走跌，經濟前景難辨加上央行貨幣政策效力不彰，則使市場避險情緒竄升，促使資金轉入日圓、黃金、瑞郎等資產。據彭博報價，日圓今盤中攀升0.75%至110.5日圓對1美元，稍早一度觸及110.27，創2014年10月以來最高，4月來（自上周四收盤至今）已升值約2%。紐約商品交易所黃金期貨今盤中一度漲1.6%至每盎司1238.8美元，黃金現貨則漲1.76%至每盎司1236.87美元，帶動白銀、鈀金、鉑金期貨與現貨同步走揚。（劉利貞／綜合外電報導）</iframe
整頓站前機車違停亂象　中市府明起大執法,2016年04月05日22:17,生活,1506,台中市政府交通局為解決台中火車站周邊機車違停亂象，明天起將實施機車停車差別費率措施，同時祭出拖吊車，強力取締違停機車。交通局指出，目前已經規劃300公尺內為「重點區(核心區)」，機車停車格每小時收費10元，每日最高30元；300至500公尺為「次重點區」，每次收費20元；500公尺以外為「外圍區」，機車格免費配套措施，以解決當地停車需求。交通局表示，實施新制的同時，也將加強取締機車違停於騎樓、人行道，明天上午會配合警察局出動3部機車拖吊車，隨時取締違規停放的機車。(蔡智銘／台中報導)
草原春藥扮英挺皇　粉絲「求翻牌」,2016年04月05日22:15,娛樂,2775,被網友封為「草原春藥」的高雲翔，明將抵台宣傳《羋月傳》，而他在台除了有《羋月傳》正熱播，他和袁詠儀、侯夢瑤、萬梓良等人演出的清宮大劇《多情江山》也將在中天綜合台播出，他在該劇飾演順治皇帝，和董小宛有纏綿悱惻的愛情故事，那英挺的造型及溫暖的眼神，讓粉絲看了嬌喊「要入宮」；「求翻牌」。高雲翔飾演順治，恰巧他在《羋月傳》的搭檔孫儷的另一半鄧超，也曾在《少年天子》扮過順治，難免被拿來相比，對此高雲翔受訪時大方回應，「孫儷是我好朋友，我在拍的時候，孫儷就給我說過，超兒也演過。但當時他的年紀比我現在要小，當時他才23歲左右」。高雲翔更補充「我所飾演的順治，對於我愛的女人及皇額娘都是順從的」。（宇若霏／台北報導） 高雲翔首次扮演皇帝，模樣英挺。中天提供
【法廣RFI】受美制裁 中興通訊高層變動,2016年04月05日22:15,財經,244,本內容由法廣中文部提供【法廣RFI】中國大陸電信設備製造商中興通訊(ZTE)周二宣布高層多名管理人員變動，任命趙先明為董事長和總裁，接替原總裁史立榮，還同時更替多名高層管理人員。中興發言人表示，換屆主管屬於常規做法。但是，法新社指出，這與中興向伊朗出口，違反對伊朗經濟制裁，受到美國出口限制有關。更多中興公司通過其他中介公司向伊朗出口禁運設備，違反美國對伊朗的出口禁令。美國商務部3月初表示，會對中興通訊實施出口限制。而今天周二被更換的中興高層管理人員中，其中三位中國高管名字也在美國商務部指責中興公司違反出口限制名單上。史立榮擔任職務6年，被趙先明接替總裁和董事長職務，但是前總裁在董事會 中保留席位，趙先明此前曾任中興通訊首席技術官。另外，該公司的執行副總裁田文果和邱未召都將離職。從法新社獲得的消息顯示，田文果和邱未召從2011年開始，負責通過第三家公司向伊朗出口美國禁運貨物。作為對中興的“懲罰”行動，美國商務部對中興實施出口限制，要求中興申請出口可，還對中興通訊從美國購買元器件產品進行限制。不過，美國商務部隨後表示，出口禁令將暫緩三個月執行。《華爾街日報》指出，中興更換高管也是與美國商務部達成和解協議的一部分。中興通訊在1985年成立，向包括美國在內的世界上160個國家出口電信設備。就中興受到美國限制，大陸官方已經表示了不滿。(羅拉/法廣記者報導）
【法廣RFI】冰島總統拒絕總理解散議會請求,2016年04月05日22:14,國際,722,本內容由法廣中文部提供冰島因總理貢勞格松被巴拿馬檔案揭秘家族在巴拿馬專門從事設立離岸公司的律師事務所莫薩克馮賽卡開設有秘密 離岸公司，遭到反對派以及民眾要求下台引發的政治危機陷入膠<U+7740>。冰島反對黨將在議會提出對政府不信任議案而彈劾貢勞格松。冰島總理貢勞格松拒絕辭職，並威 脅解散議會提前大選。總理正式提出的解散議會案卻遭到總統格里姆松拒絕。更多據法新社剛剛報導，冰島政治危機進一步惡化。總理貢勞格松拒絕辭職，並強硬要求解散議會。剛剛減短在美國國事訪問的總統格里姆松匆忙回國，立即投入解決危機的事件中。總統格里姆松拒絕總理貢勞格松解散議會的請求。冰島總理貢勞格松被爆料他的妻子在巴拿馬檔案揭秘醜聞中有一席，在巴拿馬涉案律師事務所有秘密賬號。冰島總理貢勞格松的家族離岸公司此前一直保密，只是在3月份被媒體曝光，貢勞格松被指控隱瞞。貢勞格松解釋，該公司屬於他的妻子經營，他在當選總理前夕已經以一歐元的象徵性價格向他的妻子轉讓了他的股份。他的妻子一直在冰島納稅，並沒有違法。他本人也沒有犯罪。不過冰島反對黨以及選民並不同意總理的解釋，因為總理諾要政治經濟和他的稅務透明。隱瞞離岸公司已經構成信譽毀約。選民要求總理下台。冰島昨天晚上發生民眾包圍議會示威事件，民眾罕見向議會投擲雞蛋與白色奶酪以示抗議。總理貢勞格松譴責反對派利用指控對他進行政治迫害。不過，總理貢勞格松要求解散議會遭到總統格里姆松的拒絕後，評論認為總理與總統產生分歧，總理貢勞格松顯得孤立。冰島媒體幾乎全部聚焦這一政治危機。反對黨全力抨擊政府與總理。支持總理的聯盟力量採取謹慎態度，並沒有針鋒相對回擊反對黨的指控。有分析預測，冰島的政治危機甚至最快在今天就可能會有爆炸性的結果出現。(小山/法廣記者報導）
臉書對盲胞超貼心　將推出「讀」照片能,2016年04月05日22:12,國際,466,臉書未來將推出新能，讓盲胞也能「看」到好友動態，拓展好友圈。美聯社報導，臉書正訓練電腦代替盲胞看東西，當朋友在動態時報發布照片後，人工智慧會認出照片中的物品和人，也會唸出發布者寫下的照片註解，不過目前僅適用於英文版。另外，口語註解新能有100字限制，以免盲胞使用者面對一張照片得聽一長串不必要解釋。舉例來說，臉書會念出「照片中有3個人站在戶外微笑著」，不會加上不必要的註解如他們手上拿著什麼飲料。報導說，臉書對圖像辨識技術特別謹慎，因為谷歌圖片辨識技術先前曾犯下大錯，把黑人情侶辨識為黑猩猩，谷歌公司還為此鄭重道歉。（余浚安／綜合外電報導）跟上國際脈動，快來蘋果繞著地球爆按讚
今晚大樂透頭獎開出！1億元獎落桃園,2016年04月05日22:10,生活,4436,今大樂透頭獎開出，頭獎金額1億元在桃園市桃園區常興彩券行開出，由一人獨得。今晚大樂透獎號為：14、23、26、32、38、43，特別號為3號。台彩表示，今年大樂透頭獎開出速度超越過去，一至三月就產出8位億萬富翁，今又再度開出，根據統計，有近4成頭獎在保證1億元時就開出。（朱正庭／台北報導）
【公庫】「教官退出校園，落實教育正常化」學界連署聲明,2016年04月05日22:07,社會,2712,本內容由公庫提供文 /政大野火陣線今年二月，政治大學教官粗暴撕毀政大學生社團張貼的二二八傳單，如此威權作風、言論審查的專制行為，引起社會輿論譁然，掀起校園轉型正義的討論。全台學生社團因此聯合發起「教官退出校園，落實教育正常化」之訴求。學者作為校園的一份子，贊同學生呼籲教官全面退出校園的訴求，讓教育回歸教育，軍人應徹底離開校園....（連署詳情請點入）
【法廣RFI】巴拿馬檔案揭密權貴藏金在陸投下炸彈,2016年04月05日22:05,國際,1231,本內容由法廣中文部提供巴拿馬檔案的密件揭密，在中國大陸投下炸彈。儘管官方媒體禁封，當局禁止網絡談論，但這一炸彈爆炸的威力正在產 生更多的衝擊波。因為隨<U+7740>對多達1150萬份秘密文件的進一步曝光，對中國秘密客戶的揭秘也越來越多。法新社從北京報導說，巴拿馬這家惹事律師事務所大筆 客戶以及客戶中大筆交易都來自中國大陸。更多據法新社報導，巴拿馬檔案揭秘的中國大陸在巴拿馬泄密律師事務所中開設秘密賬戶的名單，因牽涉習近平家族人員而備受關注。巴拿馬這家律師事務所傳出大量客戶密件外泄，揭露中國大陸部分領導人的家族利用國際避稅天堂隱藏財富，遭點名的包括大陸國家主席習近平的家族。至少8名現任及前任中共中央政治局常委的家族成員名列其中，凸顯中共高層財富是個極度敏感的話題。針對巴拿馬莫薩克馮賽卡（Mossack Fonseca）律師事務外泄的1150萬份客戶密件所作的調查顯示，全球各國有多達140位政要被捲入，包括上述8人。這些權貴家屬成員包括習近平的姊夫鄧家貴。鄧家貴2009年在英屬維京群島（British Virgin Islands）成立2家公司，當時習近平還是政治局常委，尚未出任國家領導人。習近平一直被外國媒體揭露中共高層家族財富的相關報導所困擾，而中國大陸主流媒體對習近平家族財富的傳聞都視而不見、聽而不聞，同時大陸也封鎖網路上的相關新聞。彭博社2012年曾公布調查報告，披露習近平家族坐擁巨額財富，踢爆鄧家貴和他的老婆擁有價值數億美元的公司股票與房地產。習近平2012年上台後，就啟動大規模打貪行動，樹立權威，致力提高透明度，以證明自身清白。大陸前總理李鵬女兒李小琳也榜上有名。李鵬在1987年至1998年擔任總理。密件揭露，原本擔任大陸國企中國電力投資集團公司副總裁的李小琳，是一家列支敦士登基金公司的受益人，這家基金公司掌控一家在英屬維京群島註冊的公司，而當時李鵬依然官居總理。(小山/法廣記者報導）
【環境資訊】有機耕種來接棒 西寶墾農第三代找出環境永續契機,2016年04月05日22:03,生活,1186,本內容由環境資訊中心提供太魯閣國家公園內的西寶聚落，這幾年在居民、慈心基金會與太管處合作努力下，逐漸朝有機村發展，並以黃嘴角鴞申請綠保標章，代表西寶農民守護生物多樣性的心意；過去中橫開路安置於此地的墾農第三代張羽廷在經過商場洗鍊後，返鄉接棒務農，守護環境後繼有人。「有機耕種沒有教科書，全憑熱情不斷請教、學習。」務農三年，他說，有機耕種與其說是誰的要求，更該說這是農業該走的路...（特約記者廖靜蕙／花蓮訊）（繼續讀完整圖文報導）【加入環境資訊中心粉絲頁，掌握環境新知！】
【公庫】北一短褲運動：教育讓學生變成機器人？,2016年04月05日22:03,論壇,1307,本內容由公庫提供部分師長認為「穿短褲入校違反明星高中的傳統」。唉，難道所謂「明星高中的傳統」窮得只剩下外表？「若說『教育』的目的，是讓我們按照『權威者』（地位上權威，年齡上權威）的意願和期望，依照設定好的套路成長，那我們扮演的角色到底是『學生』還是『機器人』？」....（讀全文）
【環境資訊】節能只能關燈？ 綠能群眾募資平台 國內首先上線,2016年04月05日21:59,生活,565,本內容由環境資訊中心提供想要為綠能發展加把勁，卻只能關燈，換LED？既沒有私人屋頂可裝置太陽能，也缺乏資金？國內第一個以綠能、公益為主題的募資平台SolarWe三月起上線，除了開放民眾小額捐款協助弱勢團體建置太陽能，未來也將開放民眾提案，以公益精神為前提，向大眾募資建置綠能。SolarWe由綠點能創團隊建置，第一個專案是位在桃園的台灣國際兒童村，預計設置50KW的太陽光電系統，共需募資350萬。等太陽能系統建置後，國際兒童村將可藉由售電而獲得穩定受益，時間長達20年。據綠點能創估計，售電總額可達600萬，相當於募資金額的1.6倍...（陳文姿／台北訊）（繼續讀完整圖文報導）【加入環境資訊中心粉絲頁，掌握環境新知！】
